City,Temperature,Humidity,Weather
Sydney,24.26,67,clear sky
Sydney,22.92,75,clear sky
Sydney,22.92,75,clear sky
Sydney,21.79,79,few clouds
Sydney,23.56,78,thunderstorm
Sydney,23.56,78,thunderstorm
Sydney,23.13,79,thunderstorm with heavy rain
